2023-05-15 17:54:49,859 INFO    StreamThr :2096671 [internal.py:wandb_internal():86] W&B internal server running at pid: 2096671, started at: 2023-05-15 17:54:49.859404
2023-05-15 17:54:49,862 DEBUG   HandlerThread:2096671 [handler.py:handle_request():144] handle_request: status
2023-05-15 17:54:49,862 INFO    WriterThread:2096671 [datastore.py:open_for_write():85] open: /home/bile-itu/git/dbAlpha_hebb/wandb/run-20230515_175449-dhv9yh1s/run-dhv9yh1s.wandb
2023-05-15 17:54:49,863 DEBUG   SenderThread:2096671 [sender.py:send():375] send: header
2023-05-15 17:54:49,863 DEBUG   SenderThread:2096671 [sender.py:send():375] send: run
2023-05-15 17:54:50,351 INFO    SenderThread:2096671 [dir_watcher.py:__init__():219] watching files in: /home/bile-itu/git/dbAlpha_hebb/wandb/run-20230515_175449-dhv9yh1s/files
2023-05-15 17:54:50,351 INFO    SenderThread:2096671 [sender.py:_start_run_threads():1124] run started: dhv9yh1s with start time 1684166089.85577
2023-05-15 17:54:50,351 DEBUG   SenderThread:2096671 [sender.py:send_request():402] send_request: summary_record
2023-05-15 17:54:50,351 INFO    SenderThread:2096671 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-05-15 17:54:50,352 DEBUG   HandlerThread:2096671 [handler.py:handle_request():144] handle_request: check_version
2023-05-15 17:54:50,352 DEBUG   SenderThread:2096671 [sender.py:send_request():402] send_request: check_version
2023-05-15 17:54:50,495 DEBUG   HandlerThread:2096671 [handler.py:handle_request():144] handle_request: run_start
2023-05-15 17:54:50,503 DEBUG   HandlerThread:2096671 [system_info.py:__init__():31] System info init
2023-05-15 17:54:50,503 DEBUG   HandlerThread:2096671 [system_info.py:__init__():46] System info init done
2023-05-15 17:54:50,503 INFO    HandlerThread:2096671 [system_monitor.py:start():181] Starting system monitor
2023-05-15 17:54:50,503 INFO    SystemMonitor:2096671 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-05-15 17:54:50,503 INFO    HandlerThread:2096671 [system_monitor.py:probe():201] Collecting system info
2023-05-15 17:54:50,504 INFO    SystemMonitor:2096671 [interfaces.py:start():190] Started cpu monitoring
2023-05-15 17:54:50,504 INFO    SystemMonitor:2096671 [interfaces.py:start():190] Started disk monitoring
2023-05-15 17:54:50,505 INFO    SystemMonitor:2096671 [interfaces.py:start():190] Started gpu monitoring
2023-05-15 17:54:50,506 INFO    SystemMonitor:2096671 [interfaces.py:start():190] Started memory monitoring
2023-05-15 17:54:50,506 INFO    SystemMonitor:2096671 [interfaces.py:start():190] Started network monitoring
2023-05-15 17:54:50,515 DEBUG   HandlerThread:2096671 [system_info.py:probe():195] Probing system
2023-05-15 17:54:50,517 DEBUG   HandlerThread:2096671 [system_info.py:_probe_git():180] Probing git
2023-05-15 17:54:50,522 DEBUG   HandlerThread:2096671 [system_info.py:_probe_git():188] Probing git done
2023-05-15 17:54:50,523 DEBUG   HandlerThread:2096671 [system_info.py:probe():240] Probing system done
